Date,Adj Close
2010-10-01,714
2010-11-01,726.89
2010-12-01,752.93
2011-01-04,766.08
2011-02-01,787.34
2011-03-01,810.98
2011-04-01,810.49
2011-05-02,798.5
2011-06-01,770.67
2011-07-04,768.65
2011-08-02,720.19
2011-09-01,725.21
2011-10-03,645.57
2011-11-01,688.22
2011-12-01,688.76
2012-01-03,695.38
2012-02-01,712.57
2012-03-01,724.34
2012-04-02,714.73
2012-05-01,701.27
2012-06-01,647.18
2012-07-03,678.76
2012-08-01,663.08
2012-09-04,682.79
2012-10-01,706.64
2012-11-01,715.31
2012-12-03,698.14
2013-01-02,718.62
2013-02-01,732.52
2013-03-01,735.52
