Date,AEM.TO,AGU.TO,ARX.TO,BMO.TO,BNS.TO,ABX.TO,BCE.TO,BB.TO,BBD-B.TO,BAM-A.TO,CCO.TO,CM.TO,CNR.TO,CNQ.TO,COS.TO,CP.TO,CTC-A.TO,CCT.TO,CVE.TO,GIB-A.TO,CPG.TO,ELD.TO,ENB.TO,ECA.TO,ERF.TO,FM.TO,FTS.TO,WN.TO,GIL.TO,G.TO,HSE.TO,IMO.TO,K.TO,L.TO,MG.TO,MFC.TO,MRU.TO,NA.TO,PPL.TO,PWT.TO,POT.TO,POW.TO,RCI-B.TO,RY.TO,SAP.TO,SJR-B.TO,SLW.TO,SNC.TO,SLF.TO,SU.TO,TLM.TO,TCK-B.TO,T.TO,TRI.TO,THI.TO,TD.TO,TA.TO,TRP.TO,VRX.TO,YRI.TO
2010-10-01,74.19,84.34,17.89,50.37,46.76,45.69,27.79,58.01,4.65,27.48,29.36,65.21,30.9,35.03,20.05,62.85,55.5,19.91,25.36,15.69,31.11,16.77,24.93,25.47,21.22,17.3,27.67,74.92,28.41,42.69,21.4,37.59,17.76,39.93,42.32,11.25,44.39,28.53,17.77,18.27,44.93,24.17,31.77,46.48,18.17,18.68,28.08,48.22,23.8,30.45,16.88,41.09,19.26,33.34,35.81,31.87,15.99,32.18,28.22,10.48
2010-11-01,77.92,76.89,20.27,50.35,45.52,49.34,28.19,63.25,4.3,27.26,34.59,65.89,30.68,37.26,22.31,61.97,59.17,19.62,26.39,16.1,32.12,17.4,25.45,25.13,22.54,17.67,27.67,71.63,29.9,43.7,20.93,35.78,17.29,37.56,45.28,12.55,43.9,28.83,17.3,17.58,44.99,23.18,31.29,46.96,17.43,18.09,36.3,50.89,23.13,32.13,17.99,45.97,19.86,32.27,37.95,32.41,16.45,30.93,26.61,11.19
2010-12-01,71.84,85.59,21.25,48.07,49.26,49.53,29.08,58.07,4.58,30.13,37.57,66.02,31.16,41.91,21.15,61.34,63.51,21.3,29.93,17.2,34.4,17.97,25.06,25.9,23.64,20.92,29.29,77.33,27.4,43.07,22.71,39.01,18.31,37.18,47.97,15.08,42.87,29.39,17.61,18.89,47.04,23.75,29.84,44.71,18.52,17.07,37.33,55.49,25.14,35.78,20.32,55.97,19.6,32.14,38.52,32.22,16.6,32.8,28.28,11.96
2011-01-04,64.28,82.75,20.93,48.9,48.71,44.26,29.92,58.99,5.22,29.8,38.7,64.28,31.88,42.2,21.98,63.76,58.28,24.1,31.12,19.26,34.63,15.63,25.86,28.73,24.86,22.44,29.74,65.11,28.44,37.75,23.09,42.93,16.11,36.04,54.04,15.34,41.02,29.95,18.19,21.71,54.07,23.16,30.16,46.31,19.56,17.78,29.59,54.47,26.31,38.75,21.07,54.94,21.39,34.52,38.4,32.8,16.23,31.55,36.49,10.55
2011-02-01,64.21,86.17,23.94,52.44,51.76,47.93,29.63,64.15,5.72,30.04,36.86,69.27,33.37,46.24,24.2,62.6,57.77,23.94,33.96,19.37,36.95,16.08,26.07,28.12,24.59,24.51,28.68,62.54,30.13,43.63,25.63,48.64,14.91,36.41,44.22,16.25,41.92,32.11,18.2,22.26,54.73,25.2,29.58,48.99,19.26,17.67,39.56,52.22,27.24,42.67,22.15,48.69,20.75,33.33,40.1,35.57,16.35,33.7,38.99,11.57
2011-03-01,60.59,83.75,22.29,53.3,51.32,47.09,29.39,54.83,6.52,28.72,27.28,71.18,34.51,45.4,26.31,59.42,60.19,26.44,34.65,20.33,37.19,15.36,26.69,30.05,23.94,24.3,28.79,61,30.83,45.47,25.45,47.73,14.84,35.98,43.17,15.21,44.02,34.09,19.04,21.55,52.29,24.66,30.71,51.75,20.56,17.35,40.37,51.48,25.73,40.73,22.02,46.55,21.59,33.09,41.37,37.54,16.27,34.3,48.4,11.25
2011-04-01,61.97,80.22,21.69,53.19,50.21,45.16,29.59,46.09,6.45,29.16,26.13,69.74,34.62,42.15,26.28,59.83,56.66,26.15,32.91,20.7,34.14,17.1,27.62,28.49,24.02,26.24,28.24,62.6,34.15,49.79,25.57,48.17,14.57,36.93,45.16,15.04,44.11,33.9,19.24,19.43,48.93,24.43,31.21,51.85,21.16,17.21,36.9,53.35,26.15,40.85,20.99,46.59,21.72,33.36,43.31,36.12,16.78,35.52,49.9,11.32
2011-05-02,59.02,79.54,22.84,53,51.66,43.46,32.54,41.35,6.2,29.07,25.33,68.38,35.75,39.93,24.57,58.54,60.79,28.65,32.38,22.34,37.47,14.93,29.4,29.59,24.76,25.64,28.95,67.41,35.05,45.65,25.9,46.47,14.78,38.52,43.78,15.4,46.28,35.03,20.57,20.06,50,23.89,32.19,49.25,22.32,16.88,34.26,53.36,26.01,37.89,18.79,46.04,23.1,33.09,42.52,36.82,17.32,37.86,50.79,11.67
2011-06-01,57.47,79.27,21.41,52.51,51.02,41.03,31.99,27.88,6.38,29.37,23.9,65.57,36.55,38.37,22.64,57.66,59.29,28.49,33.13,23.81,35.79,13.82,28.4,26.85,24.17,27.37,28.37,64.92,33,43.97,22.97,43.38,14.79,36.26,48.68,15.23,45.91,34.16,21.42,18.05,50.43,23.33,33.61,47.96,21.85,17.62,30.54,55.09,24.82,35.5,18.31,44.7,23.38,31.75,44.47,36.06,16.61,37.33,50.15,10.6
2011-07-04,50.08,78.26,21.41,51.97,47.58,42.68,30.84,23.93,5.33,27.67,23.87,62.84,33.95,36.62,21.24,58.46,55.15,30.24,33.43,20.54,34.67,15.98,28.41,25.27,23.79,25.78,27.76,61.54,27.81,43.1,23.36,40.56,15.15,34.41,43.5,13.54,45.32,32.34,21.41,17.25,50.56,21.99,32.1,45.16,21.1,18.72,33.01,50.53,22.56,34.39,16.08,43.17,23.15,28.82,43.3,34,17.04,35.38,52.59,11.71
